method,rmse,psnr_db,ssim,mean_pixel_error,p95_pixel_error,,fps
feature_constraints_off,0.060952,24.3,0.93066,0.030197,0.204449,,291
proposed,0.053399,25.449,0.946634,0.023713,0.158278,,285
"{8.387018, 1.8372636, -7.8376904}, {20.371819, -4.950144, -19.712505}, {0, 1, 0}, {60}, {0.0025044973, 44.535046}, {5, 5}, {0}",,,,,,,
