method,rmse,psnr_db,ssim,mean_pixel_error,p95_pixel_error,,fps
feature_constraints_off,0.052544,25.59,0.960415,0.02948,0.18717,,391
proposed,0.046633,26.626,0.96968,0.02357,0.144727,,394
"{-33.44678, 4.1850266, -4.1712112}, {-72.73866, -27.891405, -16.33372}, {0, 1, 0}, {60}, {0.0071835797, 176.32846}, {5, 5}, {0}",,,,,,,
