method,rmse,psnr_db,ssim,mean_pixel_error,p95_pixel_error,,fps
feature_constraints_off,0.047322,26.499,0.9595,0.020006,0.128221,,459
proposed,0.038979,28.183,0.971862,0.014138,0.079502,,445
"{0.6843269, 0.93824613, 1.3429507}, {0.6382762, -1.0161016, -1.8141702}, {0, 1, 0}, {60}, {0.023197057, 115.98528}, {5, 5}, {0}",,,,,,,
