group,off_rmse,proposed_rmse,rmse_reduction_pct,off_psnr_db,proposed_psnr_db,psnr_gain_db,off_ssim,proposed_ssim,ssim_gain,off_mean_pixel_error,proposed_mean_pixel_error,mean_error_reduction_pct,off_p95_pixel_error,proposed_p95_pixel_error,p95_error_reduction_pct,off_fps,proposed_fps,fps_gain,fps_gain_pct
a,0.047018,0.040597,13.656472,26.555,27.830,1.275,0.962764,0.971831,0.009067,0.021141,0.016156,23.579774,0.135166,0.092303,31.711377,297,319,22,7.407407
b,0.053722,0.045933,14.498716,25.397,26.757,1.360,0.937408,0.953560,0.016152,0.026923,0.020655,23.281209,0.179238,0.138371,22.800411,735,718,-17,-2.312925
c,0.060952,0.053399,12.391718,24.300,25.449,1.149,0.930660,0.946634,0.015974,0.030197,0.023713,21.472332,0.204449,0.158278,22.583138,291,285,-6,-2.061856
d,0.053721,0.042896,20.150407,25.397,27.352,1.955,0.954684,0.971784,0.017100,0.024807,0.015947,35.715725,0.156617,0.083834,46.471967,353,360,7,1.983003
e,0.052544,0.046633,11.249619,25.590,26.626,1.036,0.960415,0.969680,0.009265,0.029480,0.023570,20.047490,0.187170,0.144727,22.676177,391,394,3,0.767263
f,0.047322,0.038979,17.630278,26.499,28.183,1.684,0.959500,0.971862,0.012362,0.020006,0.014138,29.331201,0.128221,0.079502,37.996116,459,445,-14,-3.050109
