组别,RMSE_关闭特征约束,RMSE_本文方法,RMSE降低/%,PSNR_关闭特征约束/dB,PSNR_本文方法/dB,PSNR提升/dB,SSIM_关闭特征约束,SSIM_本文方法,SSIM提升,P95误差_关闭特征约束,P95误差_本文方法,P95误差降低/%,FPS_关闭特征约束,FPS_本文方法,FPS变化/%
a,0.047018,0.040597,13.66,26.555,27.830,1.275,0.962764,0.971831,0.009067,0.135166,0.092303,31.71,297,319,7.41
b,0.053722,0.045933,14.50,25.397,26.757,1.360,0.937408,0.953560,0.016152,0.179238,0.138371,22.80,735,718,-2.31
c,0.060952,0.053399,12.39,24.300,25.449,1.149,0.930660,0.946634,0.015974,0.204449,0.158278,22.58,291,285,-2.06
d,0.053721,0.042896,20.15,25.397,27.352,1.955,0.954684,0.971784,0.017100,0.156617,0.083834,46.47,353,360,1.98
e,0.052544,0.046633,11.25,25.590,26.626,1.036,0.960415,0.969680,0.009265,0.187170,0.144727,22.68,391,394,0.77
f,0.047322,0.038979,17.63,26.499,28.183,1.684,0.959500,0.971862,0.012362,0.128221,0.079502,38.00,459,445,-3.05
平均,0.052546,0.044739,14.86,25.623,27.033,1.410,0.950905,0.964225,0.013320,0.165143,0.116169,29.66,421,420,-0.20
