model,rows,candidate_rows,candidate_share,avg_conf,median_conf,low_conf_lt_0_70_share,avg_margin,median_margin,low_margin_lt_0_08_share,candidate_avg_conf,noncandidate_avg_conf,candidate_avg_margin,noncandidate_avg_margin,candidate_low_conf_share,noncandidate_low_conf_share,candidate_low_margin_share,noncandidate_low_margin_share
a,24259,12252,0.505049672286574,0.6222271065414382,0.6974365711212158,0.505049672286574,0.5415346802874078,0.6356660202145576,0.06748011047446309,0.4603391310678679,0.7874183679308097,0.32925551828958394,0.758145348464083,1.0,0.0,0.13361083904668625,0.0
b,63063,29115,0.46168117596689023,0.62929915960259,0.723643958568573,0.46168117596689023,0.5511456501494205,0.6773893162608147,0.0867862296433725,0.43906317061750866,0.7924522413541111,0.30095656198097087,0.7657166205165823,1.0,0.0,0.18797870513481024,0.0
c,61467,35437,0.5765207347031741,0.5688077749826181,0.610299825668335,0.5765207347031741,0.47026867957042523,0.5144351869821548,0.15336684725137065,0.4044236550785387,0.7925987875466158,0.2536548766970788,0.7651646969512464,1.0,0.0,0.26602139007252307,0.0
o1778,1778,920,0.5174353205849269,0.5959874259473502,0.6795305013656616,0.5174353205849269,0.5096473936117238,0.6203726213425398,0.11529808773903262,0.411466130938219,0.7938424275888429,0.27079140654481626,0.765763370420063,1.0,0.0,0.22282608695652173,0.0
o3049,3049,1762,0.5778943916038045,0.574890788943895,0.6413256525993347,0.5778943916038045,0.47685800707877957,0.5611203759908676,0.12069530993768449,0.4237727339756881,0.7817827958234448,0.27650392981759875,0.7511578393508858,1.0,0.0,0.20885357548240635,0.0
