method,rmse,psnr_db,ssim,mean_pixel_error,p95_pixel_error,,fps
feature_constraints_off,0.053721,25.397,0.954684,0.024807,0.156617,,353
proposed,0.042896,27.352,0.971784,0.015947,0.083834,,360
"{12.966435, 4.3443956, 11.231403}, {23.95336, -22.87751, -31.88393}, {0, 1, 0}, {60}, {0.0071835797, 176.32846}, {5, 5}, {0}",,,,,,,
