method,rmse,psnr_db,ssim,mean_pixel_error,p95_pixel_error,,fps
feature_constraints_off,0.053722,25.397,0.937408,0.026923,0.179238,,735
proposed,0.045933,26.757,0.95356,0.020655,0.138371,,718
"{7.489037, 1.8071815, 2.2577126}, {14.418705, -1.256452, -14.274182}, {0, 1, 0}, {60}, {0.0025044973, 44.535046}, {5, 5}, {0}",,,,,,,
