order,node_index,node_name,mesh_index,mesh_name,inference_mode,group_id,group_size,predicted_label,predicted_class,confidence,second_label,second_class,second_confidence,vertex_count,face_count,surface_area,mesh_volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,bbox_size_x,bbox_size_y,bbox_size_z,bbox_diagonal,bbox_volume,obb_size_long,obb_size_mid,obb_size_short,elongation,flatness,compactness,shape_hint,centroid_x,centroid_y,centroid_z,pointclip_top1_id,pointclip_top2_score,pointclip_top1_name,pointclip_top1_role,pointclip_top2_id,pointclip_top1_score,pointclip_margin,pointclip_topk_json,pointclip_top2_name,pointclip_top2_role,pointclip_matched,size_class,detail_class,confidence_class,confidence_margin,semantic_group,geometry_fallback_class,small_low_conf_refined,inferred_role,function_role,semantic_structural_score,neural_role,neural_role_score,pointclip_role,pointclip_role_score,structural_match_role,structural_match_score,protected_features,inference_reason,structural_features,lod_priority,lod_strategy,target_ratio_near,target_ratio_mid,target_ratio_far,allow_cull,screen_error_weight
1209,1208,Mesh.169,1208,Mesh_169.013,mesh,mesh_1209,1,0,screws_bolts_studs,0.4093931019306183,3,pins_rivets_keys,0.2976231873035431,402,380,0.00035703362664207816,,2.2070000171661377,0.777999997138977,-1.7360007762908936,2.2119998931884766,0.8030000329017639,-1.7310007810592651,0.004999876022338867,0.025000035762786865,0.004999995231628418,0.025980771749424387,6.2498480080734e-07,0.025000035762786865,0.004999995231628418,0.004999876022338867,5.000011920940324,0.19999475479876308,0.035637999160507285,long_slender,2.209488868713379,0.7878442406654358,-1.7335000038146973,pin_rivet_key,0.13741612434387207,pin rivet or key,repeated_fastener,joint_clamp_hinge,0.20308785140514374,0.06567172706127167,"[{""rank"": 1, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.20308785140514374}, {""rank"": 2, ""id"": ""joint_clamp_hinge"", ""name"": ""joint clamp or hinge"", ""role"": ""structural_control"", ""score"": 0.13741612434387207}, {""rank"": 3, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.11938918381929398}, {""rank"": 4, ""id"": ""ordinary_irregular_part"", ""name"": ""ordinary irregular industrial part"", ""role"": ""ordinary_low_detail"", ""score"": 0.08205491304397583}, {""rank"": 5, ""id"": ""large_foundation_frame"", ""name"": ""large foundation frame or static support"", ""role"": ""large_static_bulk"", ""score"": 0.08078277111053467}]",joint clamp or hinge,structural_control,1,S0_micro,D1_low,C1_medium,0.1117699146270752,fastener_repeated,geom_slender_bar,False,repeated_fastener,fastening_or_repeated_standard_part,0.5129,repeated_fastener,0.3157,repeated_fastener,0.8782,ordinary_low_detail,0.9854,"[""placement"", ""head_silhouette"", ""axis_if_visible""]",structural_match=ordinary_low_detail:0.99;pointclip_open_vocab=repeated_fastener:0.88;micro_part;slender_axis_shape;high_mesh_detail,"{""micro_score"": 1.0, ""size_score"": 0.0, ""medium_size_score"": 0.0, ""detail_score"": 0.25, ""high_detail_score"": 0.9376, ""density_score"": 0.9376, ""slender_score"": 0.9, ""plate_score"": 0.0, ""compact_score"": 0.0, ""ring_disk_score"": 0.0, ""bulk_score"": 0.0, ""simple_score"": 0.7875, ""uncertainty_score"": 0.2823}",P2_repeated_fastener,repeated_fastener_aggressive,0.38,0.16,0.05,True,0.55
1210,1209,Mesh.170,1209,Mesh_170.013,mesh,mesh_1210,1,4,bearings_bushings_guides,0.23364005982875824,0,screws_bolts_studs,0.15548591315746307,136,132,0.00016287069593090564,,2.3370094299316406,0.7780002355575562,-1.8305011987686157,2.3419923782348633,0.788000226020813,-1.8255012035369873,0.004982948303222656,0.009999990463256836,0.004999995231628418,0.012240487546422492,2.4914693995037773e-07,0.009999990463256836,0.004999995231628418,0.004982948303222656,2.0,0.4982953055337005,0.13584992667630727,irregular,2.339500904083252,0.785059928894043,-1.8280011415481567,pin_rivet_key,0.1722467690706253,pin rivet or key,repeated_fastener,nut,0.4131985306739807,0.2409517616033554,"[{""rank"": 1, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.4131985306739807}, {""rank"": 2, ""id"": ""nut"", ""name"": ""nut"", ""role"": ""repeated_fastener"", ""score"": 0.1722467690706253}, {""rank"": 3, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.06238364800810814}, {""rank"": 4, ""id"": ""bearing_bushing"", ""name"": ""bearing or bushing"", ""role"": ""critical_preserve"", ""score"": 0.052532296627759933}, {""rank"": 5, ""id"": ""bolt_screw"", ""name"": ""bolt or screw"", ""role"": ""repeated_fastener"", ""score"": 0.050916049629449844}]",nut,repeated_fastener,1,S0_micro,D1_low,C0_low_or_ambiguous,0.07815414667129517,semantic_uncertain:geom_compact_block,geom_compact_block,True,micro_uncertain,low_confidence_or_micro_detail,0.8045,critical_preserve,0.085,repeated_fastener,1.0,micro_uncertain,0.9331,"[""placement"", ""coarse_silhouette""]",structural_match=micro_uncertain:0.93;pointclip_open_vocab=repeated_fastener:1.00;low_or_ambiguous_pointnext_confidence;micro_part;high_mesh_detail,"{""micro_score"": 1.0, ""size_score"": 0.0, ""medium_size_score"": 0.0, ""detail_score"": 0.25, ""high_detail_score"": 0.9862, ""density_score"": 0.9862, ""slender_score"": 0.0, ""plate_score"": 0.0, ""compact_score"": 0.7323, ""ring_disk_score"": 0.0, ""bulk_score"": 0.0, ""simple_score"": 0.7875, ""uncertainty_score"": 0.7395}",P1_micro_uncertain,micro_uncertain_cull_far,0.25,0.08,0.02,True,0.4
1211,1210,Mesh.171,1210,Mesh_171.013,mesh,mesh_1211,1,0,screws_bolts_studs,0.26633119583129883,4,bearings_bushings_guides,0.16067272424697876,136,132,0.00016287056496366858,,2.3370094299316406,0.7780002355575562,-1.7360011339187622,2.3419923782348633,0.788000226020813,-1.7310010194778442,0.004982948303222656,0.009999990463256836,0.005000114440917969,0.012240536241525272,2.4915288008198373e-07,0.009999990463256836,0.005000114440917969,0.004982948303222656,1.9999523173755485,0.4982953055337005,0.13585154425391407,irregular,2.339500904083252,0.785059928894043,-1.7335017919540405,pin_rivet_key,0.17779602110385895,pin rivet or key,repeated_fastener,nut,0.40066954493522644,0.2228735238313675,"[{""rank"": 1, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.40066954493522644}, {""rank"": 2, ""id"": ""nut"", ""name"": ""nut"", ""role"": ""repeated_fastener"", ""score"": 0.17779602110385895}, {""rank"": 3, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.05772192031145096}, {""rank"": 4, ""id"": ""bolt_screw"", ""name"": ""bolt or screw"", ""role"": ""repeated_fastener"", ""score"": 0.05594600364565849}, {""rank"": 5, ""id"": ""bearing_bushing"", ""name"": ""bearing or bushing"", ""role"": ""critical_preserve"", ""score"": 0.05507864058017731}]",nut,repeated_fastener,1,S0_micro,D1_low,C0_low_or_ambiguous,0.10565847158432007,semantic_uncertain:geom_compact_block,geom_compact_block,True,micro_uncertain,low_confidence_or_micro_detail,0.7675,repeated_fastener,0.1121,repeated_fastener,1.0,micro_uncertain,0.8992,"[""placement"", ""coarse_silhouette""]",structural_match=micro_uncertain:0.90;pointclip_open_vocab=repeated_fastener:1.00;low_or_ambiguous_pointnext_confidence;micro_part;high_mesh_detail,"{""micro_score"": 1.0, ""size_score"": 0.0, ""medium_size_score"": 0.0, ""detail_score"": 0.25, ""high_detail_score"": 0.9862, ""density_score"": 0.9862, ""slender_score"": 0.0, ""plate_score"": 0.0, ""compact_score"": 0.7323, ""ring_disk_score"": 0.0, ""bulk_score"": 0.0, ""simple_score"": 0.7875, ""uncertainty_score"": 0.6478}",P1_micro_uncertain,micro_uncertain_cull_far,0.25,0.08,0.02,True,0.4
1212,1211,Mesh.172,1211,Mesh_172.013,mesh,mesh_1212,1,0,screws_bolts_studs,0.22206474840641022,4,bearings_bushings_guides,0.18275469541549683,136,132,0.00016287120524793863,,2.3370094299316406,0.7780002355575562,-1.6385010480880737,2.3419923782348633,0.788000226020813,-1.6335010528564453,0.004982948303222656,0.009999990463256836,0.004999995231628418,0.012240487546422492,2.4914693995037773e-07,0.009999990463256836,0.004999995231628418,0.004982948303222656,2.0,0.4982953055337005,0.13584992667630727,irregular,2.339500904083252,0.785059928894043,-1.6360008716583252,pin_rivet_key,0.17418617010116577,pin rivet or key,repeated_fastener,nut,0.41137272119522095,0.23718655109405518,"[{""rank"": 1, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.41137272119522095}, {""rank"": 2, ""id"": ""nut"", ""name"": ""nut"", ""role"": ""repeated_fastener"", ""score"": 0.17418617010116577}, {""rank"": 3, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.06210799142718315}, {""rank"": 4, ""id"": ""bolt_screw"", ""name"": ""bolt or screw"", ""role"": ""repeated_fastener"", ""score"": 0.05230017006397247}, {""rank"": 5, ""id"": ""pipe_fitting_valve_nozzle"", ""name"": ""pipe fitting valve or nozzle"", ""role"": ""interface_fluid"", ""score"": 0.05148933827877045}]",nut,repeated_fastener,1,S0_micro,D1_low,C0_low_or_ambiguous,0.03931005299091339,semantic_uncertain:geom_compact_block,geom_compact_block,True,micro_uncertain,low_confidence_or_micro_detail,0.7916,repeated_fastener,0.0858,repeated_fastener,1.0,micro_uncertain,0.893,"[""placement"", ""coarse_silhouette""]",structural_match=micro_uncertain:0.89;pointclip_open_vocab=repeated_fastener:1.00;low_or_ambiguous_pointnext_confidence;micro_part;high_mesh_detail,"{""micro_score"": 1.0, ""size_score"": 0.0, ""medium_size_score"": 0.0, ""detail_score"": 0.25, ""high_detail_score"": 0.9862, ""density_score"": 0.9862, ""slender_score"": 0.0, ""plate_score"": 0.0, ""compact_score"": 0.7323, ""ring_disk_score"": 0.0, ""bulk_score"": 0.0, ""simple_score"": 0.7875, ""uncertainty_score"": 0.869}",P1_micro_uncertain,micro_uncertain_cull_far,0.25,0.08,0.02,True,0.4
1213,1212,Mesh.173,1212,Mesh_173.013,mesh,mesh_1213,1,4,bearings_bushings_guides,0.19852234423160553,0,screws_bolts_studs,0.16123999655246735,136,132,0.00016287130711134523,,2.2870092391967773,0.7780002355575562,-1.8305011987686157,2.2919921875,0.788000226020813,-1.8255012035369873,0.004982948303222656,0.009999990463256836,0.004999995231628418,0.012240487546422492,2.4914693995037773e-07,0.009999990463256836,0.004999995231628418,0.004982948303222656,2.0,0.4982953055337005,0.13584992667630727,irregular,2.289501428604126,0.785059928894043,-1.8280011415481567,pin_rivet_key,0.17692917585372925,pin rivet or key,repeated_fastener,nut,0.3987160623073578,0.22178688645362854,"[{""rank"": 1, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.3987160623073578}, {""rank"": 2, ""id"": ""nut"", ""name"": ""nut"", ""role"": ""repeated_fastener"", ""score"": 0.17692917585372925}, {""rank"": 3, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.06114508956670761}, {""rank"": 4, ""id"": ""bearing_bushing"", ""name"": ""bearing or bushing"", ""role"": ""critical_preserve"", ""score"": 0.053960349410772324}, {""rank"": 5, ""id"": ""pipe_fitting_valve_nozzle"", ""name"": ""pipe fitting valve or nozzle"", ""role"": ""interface_fluid"", ""score"": 0.053123775869607925}]",nut,repeated_fastener,1,S0_micro,D1_low,C0_low_or_ambiguous,0.037282347679138184,semantic_uncertain:geom_compact_block,geom_compact_block,True,micro_uncertain,low_confidence_or_micro_detail,0.7971,critical_preserve,0.0684,repeated_fastener,1.0,micro_uncertain,0.8905,"[""placement"", ""coarse_silhouette""]",structural_match=micro_uncertain:0.89;pointclip_open_vocab=repeated_fastener:1.00;low_or_ambiguous_pointnext_confidence;micro_part;high_mesh_detail,"{""micro_score"": 1.0, ""size_score"": 0.0, ""medium_size_score"": 0.0, ""detail_score"": 0.25, ""high_detail_score"": 0.9862, ""density_score"": 0.9862, ""slender_score"": 0.0, ""plate_score"": 0.0, ""compact_score"": 0.7323, ""ring_disk_score"": 0.0, ""bulk_score"": 0.0, ""simple_score"": 0.7875, ""uncertainty_score"": 0.8757}",P1_micro_uncertain,micro_uncertain_cull_far,0.25,0.08,0.02,True,0.4
1214,1213,Mesh.174,1213,Mesh_174.013,mesh,mesh_1214,1,0,screws_bolts_studs,0.23233254253864288,4,bearings_bushings_guides,0.19355320930480957,136,132,0.00016287116159219295,,2.2870092391967773,0.7780002355575562,-1.7360011339187622,2.2919921875,0.788000226020813,-1.7310010194778442,0.004982948303222656,0.009999990463256836,0.005000114440917969,0.012240536241525272,2.4915288008198373e-07,0.009999990463256836,0.005000114440917969,0.004982948303222656,1.9999523173755485,0.4982953055337005,0.13585154425391407,irregular,2.289501428604126,0.785059928894043,-1.7335017919540405,pin_rivet_key,0.17344211041927338,pin rivet or key,repeated_fastener,nut,0.39085784554481506,0.2174157351255417,"[{""rank"": 1, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.39085784554481506}, {""rank"": 2, ""id"": ""nut"", ""name"": ""nut"", ""role"": ""repeated_fastener"", ""score"": 0.17344211041927338}, {""rank"": 3, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.060883909463882446}, {""rank"": 4, ""id"": ""bearing_bushing"", ""name"": ""bearing or bushing"", ""role"": ""critical_preserve"", ""score"": 0.05630841106176376}, {""rank"": 5, ""id"": ""bolt_screw"", ""name"": ""bolt or screw"", ""role"": ""repeated_fastener"", ""score"": 0.05630841106176376}]",nut,repeated_fastener,1,S0_micro,D1_low,C0_low_or_ambiguous,0.03877933323383331,semantic_uncertain:geom_compact_block,geom_compact_block,True,micro_uncertain,low_confidence_or_micro_detail,0.7883,repeated_fastener,0.0897,repeated_fastener,1.0,micro_uncertain,0.8923,"[""placement"", ""coarse_silhouette""]",structural_match=micro_uncertain:0.89;pointclip_open_vocab=repeated_fastener:1.00;low_or_ambiguous_pointnext_confidence;micro_part;high_mesh_detail,"{""micro_score"": 1.0, ""size_score"": 0.0, ""medium_size_score"": 0.0, ""detail_score"": 0.25, ""high_detail_score"": 0.9862, ""density_score"": 0.9862, ""slender_score"": 0.0, ""plate_score"": 0.0, ""compact_score"": 0.7323, ""ring_disk_score"": 0.0, ""bulk_score"": 0.0, ""simple_score"": 0.7875, ""uncertainty_score"": 0.8707}",P1_micro_uncertain,micro_uncertain_cull_far,0.25,0.08,0.02,True,0.4
1215,1214,Mesh.175,1214,Mesh_175.013,mesh,mesh_1215,1,4,bearings_bushings_guides,0.17715972661972046,3,pins_rivets_keys,0.1703728437423706,136,132,0.00016287181642837822,,2.2870092391967773,0.7780002355575562,-1.6385010480880737,2.2919921875,0.788000226020813,-1.6335010528564453,0.004982948303222656,0.009999990463256836,0.004999995231628418,0.012240487546422492,2.4914693995037773e-07,0.009999990463256836,0.004999995231628418,0.004982948303222656,2.0,0.4982953055337005,0.13584992667630727,irregular,2.289501428604126,0.785059928894043,-1.6360008716583252,pin_rivet_key,0.17816327512264252,pin rivet or key,repeated_fastener,nut,0.4142420291900635,0.23607875406742096,"[{""rank"": 1, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.4142420291900635}, {""rank"": 2, ""id"": ""nut"", ""name"": ""nut"", ""role"": ""repeated_fastener"", ""score"": 0.17816327512264252}, {""rank"": 3, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.05694440379738808}, {""rank"": 4, ""id"": ""bearing_bushing"", ""name"": ""bearing or bushing"", ""role"": ""critical_preserve"", ""score"": 0.05349431559443474}, {""rank"": 5, ""id"": ""bolt_screw"", ""name"": ""bolt or screw"", ""role"": ""repeated_fastener"", ""score"": 0.05349431559443474}]",nut,repeated_fastener,1,S0_micro,D1_low,C0_low_or_ambiguous,0.0067868828773498535,semantic_uncertain:geom_compact_block,geom_compact_block,True,micro_uncertain,low_confidence_or_micro_detail,0.7852,critical_preserve,0.0585,repeated_fastener,1.0,high_detail_shape,0.8546,"[""placement"", ""coarse_silhouette""]",structural_match=high_detail_shape:0.85;pointclip_open_vocab=repeated_fastener:1.00;low_or_ambiguous_pointnext_confidence;micro_part;high_mesh_detail,"{""micro_score"": 1.0, ""size_score"": 0.0, ""medium_size_score"": 0.0, ""detail_score"": 0.25, ""high_detail_score"": 0.9862, ""density_score"": 0.9862, ""slender_score"": 0.0, ""plate_score"": 0.0, ""compact_score"": 0.7323, ""ring_disk_score"": 0.0, ""bulk_score"": 0.0, ""simple_score"": 0.7875, ""uncertainty_score"": 0.9774}",P1_micro_uncertain,micro_uncertain_cull_far,0.25,0.08,0.02,True,0.4
1216,1215,Mesh.176,1215,Mesh_176.013,mesh,mesh_1216,1,6,motors_gearmotors,0.29285070300102234,4,bearings_bushings_guides,0.18272517621517181,11546,13078,0.05858628824353218,,2.283500909805298,0.7710002064704895,-1.8380011320114136,2.345500946044922,0.8263373970985413,-1.6260011196136475,0.06200003623962402,0.05533719062805176,0.2120000123977661,0.22770642155409895,0.0007273525012952895,0.2120000123977661,0.06200003623962402,0.05533719062805176,3.4193530400273797,0.2610244688298653,0.061605445377723445,long_slender,2.3143980503082275,0.7980262041091919,-1.7253528833389282,large_foundation_frame,0.14642882347106934,large foundation frame or static support,large_static_bulk,ordinary_irregular_part,0.17119263112545013,0.0247638076543808,"[{""rank"": 1, ""id"": ""large_foundation_frame"", ""name"": ""large foundation frame or static support"", ""role"": ""large_static_bulk"", ""score"": 0.17119263112545013}, {""rank"": 2, ""id"": ""ordinary_irregular_part"", ""name"": ""ordinary irregular industrial part"", ""role"": ""ordinary_low_detail"", ""score"": 0.14642882347106934}, {""rank"": 3, ""id"": ""joint_clamp_hinge"", ""name"": ""joint clamp or hinge"", ""role"": ""structural_control"", ""score"": 0.11053027212619781}, {""rank"": 4, ""id"": ""plate_disc_panel"", ""name"": ""plate disc or panel"", ""role"": ""large_static_bulk"", ""score"": 0.09603036195039749}, {""rank"": 5, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.09454154223203659}]",ordinary irregular industrial part,ordinary_low_detail,1,S3_medium,D4_very_high,C0_low_or_ambiguous,0.11012552678585052,semantic_uncertain,geom_slender_bar,False,high_detail_shape,high_detail_visible_shape,0.7148,critical_preserve,0.1174,large_static_bulk,0.6572,high_detail_shape,0.8998,"[""silhouette"", ""high_curvature_regions"", ""feature_edges""]",structural_match=high_detail_shape:0.90;pointclip_open_vocab=large_static_bulk:0.66;low_or_ambiguous_pointnext_confidence;slender_axis_shape;high_mesh_detail,"{""micro_score"": 0.0, ""size_score"": 0.5, ""medium_size_score"": 1.0, ""detail_score"": 1.0, ""high_detail_score"": 1.0, ""density_score"": 0.8504, ""slender_score"": 0.9, ""plate_score"": 0.0, ""compact_score"": 0.0225, ""ring_disk_score"": 0.0, ""bulk_score"": 0.0, ""simple_score"": 0.15, ""uncertainty_score"": 0.6329}",P6_high_detail_shape,high_detail_shape,0.74,0.45,0.22,False,1.08
1217,1216,Mesh.164,1216,Mesh_164.013,mesh,mesh_1217,1,11,plates_discs_shapes,0.7178438305854797,4,bearings_bushings_guides,0.032340068370103836,27405,25884,0.17420057952404022,,2.072000026702881,0.7610000371932983,-1.867000699043274,2.361999988555908,0.7710000276565552,-1.5970007181167603,0.28999996185302734,0.009999990463256836,0.26999998092651367,0.3963583825079776,0.000782999094963232,0.28999996185302734,0.26999998092651367,0.009999990463256836,1.0740740086643084,0.03448273027127105,0.012574685090247204,flat_plate,2.2214267253875732,0.76915442943573,-1.6557512283325195,large_foundation_frame,0.13251563906669617,large foundation frame or static support,large_static_bulk,plate_disc_panel,0.14553996920585632,0.013024330139160156,"[{""rank"": 1, ""id"": ""large_foundation_frame"", ""name"": ""large foundation frame or static support"", ""role"": ""large_static_bulk"", ""score"": 0.14553996920585632}, {""rank"": 2, ""id"": ""plate_disc_panel"", ""name"": ""plate disc or panel"", ""role"": ""large_static_bulk"", ""score"": 0.13251563906669617}, {""rank"": 3, ""id"": ""ordinary_irregular_part"", ""name"": ""ordinary irregular industrial part"", ""role"": ""ordinary_low_detail"", ""score"": 0.12644731998443604}, {""rank"": 4, ""id"": ""joint_clamp_hinge"", ""name"": ""joint clamp or hinge"", ""role"": ""structural_control"", ""score"": 0.10647930949926376}, {""rank"": 5, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.0791287049651146}]",plate disc or panel,large_static_bulk,1,S4_large,D4_very_high,C2_high,0.6855037622153759,bulk_static_part,geom_thin_plate,False,large_static_bulk,large_static_support_or_cover,0.4134,large_static_bulk,0.3948,large_static_bulk,0.5641,critical_preserve,0.7897,"[""outer_silhouette"", ""major_openings""]",pointnext_prior=large_static_bulk:0.39;structural_match=critical_preserve:0.79;pointclip_open_vocab=large_static_bulk:0.56;thin_plate_or_sheet_shape;high_mesh_detail,"{""micro_score"": 0.0, ""size_score"": 0.6667, ""medium_size_score"": 0.6667, ""detail_score"": 1.0, ""high_detail_score"": 1.0, ""density_score"": 0.8042, ""slender_score"": 0.0, ""plate_score"": 0.9, ""compact_score"": 0.0, ""ring_disk_score"": 0.6339, ""bulk_score"": 0.0, ""simple_score"": 0.15, ""uncertainty_score"": 0.0}",P3_large_static_bulk,large_static_bulk_fast_simplify,0.45,0.22,0.07,True,0.65
1218,1217,Mesh.163,1217,Mesh_163.013,mesh,mesh_1218,1,11,plates_discs_shapes,0.3794669210910797,3,pins_rivets_keys,0.1167525202035904,816,796,0.01056891679763794,,2.072000026702881,0.7610002160072327,-1.6965006589889526,2.361999988555908,0.7640002369880676,-1.6815005540847778,0.28999996185302734,0.003000020980834961,0.015000104904174805,0.29040313556809094,1.3050180817264663e-05,0.28999996185302734,0.015000104904174805,0.003000020980834961,19.333195581339904,0.010344901294695268,0.0005328593925081645,flat_plate,2.2170028686523438,0.762494683265686,-1.689001441001892,joint_clamp_hinge,0.15524739027023315,joint clamp or hinge,structural_control,pin_rivet_key,0.15524739027023315,0.0,"[{""rank"": 1, ""id"": ""joint_clamp_hinge"", ""name"": ""joint clamp or hinge"", ""role"": ""structural_control"", ""score"": 0.15524739027023315}, {""rank"": 2, ""id"": ""pin_rivet_key"", ""name"": ""pin rivet or key"", ""role"": ""repeated_fastener"", ""score"": 0.15524739027023315}, {""rank"": 3, ""id"": ""handle_lever_knob"", ""name"": ""handle lever or knob"", ""role"": ""structural_control"", ""score"": 0.14584141969680786}, {""rank"": 4, ""id"": ""ordinary_irregular_part"", ""name"": ""ordinary irregular industrial part"", ""role"": ""ordinary_low_detail"", ""score"": 0.07566153258085251}, {""rank"": 5, ""id"": ""large_foundation_frame"", ""name"": ""large foundation frame or static support"", ""role"": ""large_static_bulk"", ""score"": 0.07333367317914963}]",pin rivet or key,repeated_fastener,1,S3_medium,D1_low,C0_low_or_ambiguous,0.2627144008874893,semantic_uncertain,geom_ultra_thin_sheet,False,ordinary_low_detail,ordinary_low_detail_part,0.618,large_static_bulk,0.1105,structural_control,0.5294,ordinary_low_detail,0.9591,"[""coarse_silhouette""]",structural_match=ordinary_low_detail:0.96;pointclip_open_vocab=structural_control:0.53;low_or_ambiguous_pointnext_confidence;slender_axis_shape;thin_plate_or_sheet_shape,"{""micro_score"": 0.0, ""size_score"": 0.5, ""medium_size_score"": 1.0, ""detail_score"": 0.25, ""high_detail_score"": 0.4937, ""density_score"": 0.4937, ""slender_score"": 1.0, ""plate_score"": 0.9353, ""compact_score"": 0.0, ""ring_disk_score"": 0.0, ""bulk_score"": 0.0, ""simple_score"": 0.7875, ""uncertainty_score"": 0.1243}",P4_ordinary_low_detail,ordinary_low_detail_fast_simplify,0.55,0.28,0.1,True,0.8
