order,node_index,node_name,mesh_index,mesh_name,inference_mode,group_id,group_size,predicted_label,predicted_class,confidence,second_label,second_class,second_confidence,vertex_count,face_count,surface_area,mesh_volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,bbox_size_x,bbox_size_y,bbox_size_z,bbox_diagonal,bbox_volume,obb_size_long,obb_size_mid,obb_size_short,elongation,flatness,compactness,shape_hint,centroid_x,centroid_y,centroid_z
3394,3393,Mesh.3393,3393,Mesh_1056.005,mesh,mesh_3394,1,9,wheels_castors,0.5852800607681274,8,joints_clamps_structural_connectors,0.0835389643907547,468,456,0.011874852702021599,,-0.009998910129070282,0.36500000953674316,-4.592930793762207,0.029998861253261566,0.42900002002716064,-4.553034782409668,0.03999777138233185,0.06400001049041748,0.03989601135253906,0.0853669419633195,0.00010212811537342937,0.06400001049041748,0.03999777138233185,0.03989601135253906,1.6000894119487894,0.6233750752042856,0.16416332689600588,irregular,0.009999969974160194,0.4009992182254791,-4.572982311248779
3395,3394,Mesh.3394,3394,Mesh_1055.005,mesh,mesh_3395,1,11,plates_discs_shapes,0.500286340713501,2,washers_rings_spacers,0.11043624579906464,10055,9948,0.4908437132835388,,-0.41499999165534973,0.35500001907348633,-4.862982273101807,0.07500003278255463,0.36500000953674316,-4.312982082366943,0.49000002443790436,0.009999990463256836,0.5500001907348633,0.7366819079947586,0.0026949984988560486,0.5500001907348633,0.49000002443790436,0.009999990463256836,1.1224493128664375,0.01818179453700862,0.006740909784312611,flat_plate,-0.1760345846414566,0.35976046323776245,-4.59867525100708
3396,3395,Mesh.3395,3395,Mesh_1054.005,mesh,mesh_3396,1,4,bearings_bushings_guides,0.4915105700492859,7,pipe_fittings_valves_nozzles,0.20039023458957672,2492,2852,0.018155068159103394,,-0.016976963728666306,0.2930000126361847,-4.7599592208862305,0.03697690740227699,0.37300002574920654,-4.706005096435547,0.0539538711309433,0.08000001311302185,0.053954124450683594,0.1105534705621581,0.0002328827483800556,0.08000001311302185,0.053954124450683594,0.0539538711309433,1.4827413831197525,0.6744232785902013,0.17235352715238356,compact_block,0.009999965317547321,0.3449022173881531,-4.7329840660095215
3397,3396,Mesh.3396,3396,Mesh_1053.005,mesh,mesh_3397,1,4,bearings_bushings_guides,0.4449222981929779,7,pipe_fittings_valves_nozzles,0.23943231999874115,2492,2852,0.018155068159103394,,-0.3269769549369812,0.2930000126361847,-4.549959182739258,-0.2730230689048767,0.37300002574920654,-4.496005058288574,0.05395388603210449,0.08000001311302185,0.053954124450683594,0.11055347783443469,0.0002328828126983946,0.08000001311302185,0.053954124450683594,0.05395388603210449,1.4827413831197525,0.6744234648546857,0.17235354074098502,compact_block,-0.29999858140945435,0.3449022173881531,-4.5229878425598145
3398,3397,Mesh.3397,3397,Mesh_1052.005,mesh,mesh_3398,1,4,bearings_bushings_guides,0.5401691794395447,7,pipe_fittings_valves_nozzles,0.1523617058992386,2492,2852,0.018155066296458244,,-0.016976961866021156,0.2930000126361847,-4.549959182739258,0.03697691112756729,0.37300002574920654,-4.496005058288574,0.05395387299358845,0.08000001311302185,0.053954124450683594,0.11055347147119259,0.00023288275641984797,0.08000001311302185,0.053954124450683594,0.05395387299358845,1.4827413831197525,0.6744233018732619,0.17235352885095967,compact_block,0.009999957866966724,0.3449022173881531,-4.52298641204834
3399,3398,Mesh.3398,3398,Mesh_1051.005,mesh,mesh_3399,1,4,bearings_bushings_guides,0.4734116494655609,7,pipe_fittings_valves_nozzles,0.22145062685012817,2492,2852,0.018155068159103394,,-0.3269769549369812,0.2930000126361847,-4.7599592208862305,-0.2730230689048767,0.37300002574920654,-4.706005096435547,0.05395388603210449,0.08000001311302185,0.053954124450683594,0.11055347783443469,0.0002328828126983946,0.08000001311302185,0.053954124450683594,0.05395388603210449,1.4827413831197525,0.6744234648546857,0.17235354074098502,compact_block,-0.29999858140945435,0.3449022173881531,-4.7329840660095215
3400,3399,Mesh.3399,3399,Mesh_1050.005,mesh,mesh_3400,1,8,joints_clamps_structural_connectors,0.7735334038734436,11,plates_discs_shapes,0.03879506513476372,1050,992,0.009717699140310287,,-0.07500001043081284,0.7490000128746033,-4.864482402801514,-0.03500000387430191,0.8340000510215759,-4.823482513427734,0.040000006556510925,0.08500003814697266,0.0409998893737793,0.10249877042272197,0.00013939970928110513,0.08500003814697266,0.0409998893737793,0.040000006556510925,2.0731772559692034,0.47058810123528816,0.12945114650459344,irregular,-0.05403253808617592,0.8042673468589783,-4.8484883308410645
3401,3400,Mesh.3400,3400,Mesh_105.014,mesh,mesh_3401,1,4,bearings_bushings_guides,0.2381068766117096,0,screws_bolts_studs,0.2135418802499771,136,132,0.0001628696045372635,,0.6200082898139954,0.7780002355575562,-4.631983757019043,0.624991238117218,0.788000226020813,-4.626983642578125,0.004982948303222656,0.009999990463256836,0.005000114440917969,0.012240536241525272,2.4915288008198373e-07,0.009999990463256836,0.005000114440917969,0.004982948303222656,1.9999523173755485,0.4982953055337005,0.13585154425391407,irregular,0.6224997639656067,0.785059928894043,-4.629483222961426
3402,3401,Mesh.3401,3401,Mesh_1049.005,mesh,mesh_3402,1,12,handles_controls,0.737707793712616,6,motors_gearmotors,0.04029878228902817,7782,7052,0.0026154813822358847,,-0.0585559643805027,0.8213000893592834,-4.859535217285156,-0.009932990185916424,0.8325001001358032,-4.824341773986816,0.04862297419458628,0.011200010776519775,0.035193443298339844,0.06105908869378107,1.916556915640188e-05,0.04862297419458628,0.035193443298339844,0.011200010776519775,1.3815918431851746,0.2303440084042986,0.08419198837386388,irregular,-0.04188554361462593,0.8290529847145081,-4.84557580947876
3403,3402,Mesh.3402,3402,Mesh_1048.005,mesh,mesh_3403,1,11,plates_discs_shapes,0.7033645510673523,8,joints_clamps_structural_connectors,0.06804171204566956,348,328,0.0021107112988829613,,-0.40000003576278687,0.7890000343322754,-4.722982883453369,-0.33000001311302185,0.7894999980926514,-4.707982540130615,0.07000002264976501,0.0004999637603759766,0.015000343322753906,0.0715909451993043,5.249741336850431e-07,0.07000002264976501,0.015000343322753906,0.0004999637603759766,4.666561367537669,0.007142337122910273,0.0014307495451131391,flat_plate,-0.378000408411026,0.7892504930496216,-4.715486526489258
